Feature_ID	Taxon	Confidence	ASVs
e16b84e31af151ac36891fd03fd55715	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	0.996769955	ASV103
eb311c95bdffa2a21ca771b0961308c3	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	0.999987934	ASV104
f799848b0b30a0d6223404577705eef9	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Filifactor;s__Filifactor_alocis	0.855711434	ASV105
a7b4c6f9530cbc289732174fb431ec5b	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Beutenbergiaceae	0.991232954	ASV106
ec573b0d74ca440a31f929a56638df68	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	0.982066982	ASV107
357a5d9d5fce938a8a29df365c5ba6b2	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0.969732347	ASV108
2e182b3e7e1a47afea624883009c1d08	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0.998039465	ASV109
7423fef1b0742d8d83fdc45eaa71cc19	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium	0.797712963	ASV110
ce052a5e2929107c29ea9cdc3b52fa32	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas	0.839674922	ASV111
21a883eebc261cc434ba99f9710a1d61	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	0.869194599	ASV112
9105e31a89ccab489ce3abd67db39e2a	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium;s__uncultured_bacterium	0.819860929	ASV113
f4832e5b1d14aff790042b1a32e63658	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria	0.997925866	ASV114
4c8ac3960b70ffbf168e03165ddc4a4a	Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	0.999104383	ASV115
f4fcf60b036c82daaf60f7c90773d6c3	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;s__Sphingomonas_astaxanthinifaciens	0.709217111	ASV116
2b9194a8ec0903137fcc36a1401fc4d0	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus	0.989556245	ASV117
63bc108a053497cec8caec9ebdac66d0	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	0.988047342	ASV118
f17d836a535a81a3260645058c1a0ff1	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Frigoribacterium	0.849920481	ASV119
acf9f922950f41e8cdf85402df2ee2b1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.808469926	ASV120
a92ebf9a880d87b5fec61d9d8131f8bc	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	0.999976688	ASV121
d6c95f0409c1e84d3921a6a65b7b9ba3	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;s__Sphingobacterium_multivorum	0.739943458	ASV122
3b84cd13239ebdbfbc2f3f71a9d9bb52	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Mycetocola	0.969412507	ASV123
0ea8383a06d28d74a31b6b576d06e680	Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	0.997874645	ASV124
52e73ade27f5cece375c25bba5617d3e	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	0.99015731	ASV125
